student_id,date,grade,subject,paper,year,session,url
42e5c15e-33f4-4c8e-a496-9b35967d3853,23-07-25,IGCSE,Mathematics,Paper 1,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-International-0607/2023-Oct-Nov/0607_w23_qp_12.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,24-07-25,EGCSE,Physical Science,Paper 1,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Physical Science 2023 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,27-07-25,EGCSE,Religious Education,Paper 2,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2023 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,28-07-25,EGCSE,Siswati as a Second Language,Paper 1,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2023 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,29-07-25,EGCSE,Business Studies,Paper 1,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Business studies 2023 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,30-07-25,EGCSE,Design and Technology,Paper 2,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2023 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,31-07-25,EGCSE,English Language,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,03-08-25,EGCSE,First Language SiSwati,Paper 2,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2023 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,04-08-25,EGCSE,Geography,Paper 1,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Geography 2023 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,05-08-25,EGCSE,Literature in English,Paper 1,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Literature in English 2023 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,06-08-25,EGCSE,Mathematics,Paper 3,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Mathematics 2024 Question Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,07-08-25,EGCSE,Physical Science,Paper 3,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Physical Science 2023 Question Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,10-08-25,EGCSE,Religious Education,Paper 1,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2022 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,11-08-25,EGCSE,Siswati as a Second Language,Paper 2,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2023 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,12-08-25,IGCSE,Business Studies,Paper 1,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_qp_13.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,13-08-25,EGCSE,Design and Technology,Paper 3,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2023 Question Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,14-08-25,IGCSE,English Language,Paper 1,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_13.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,14-08-25,IGCSE,English Language,Paper 1 - Insert,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_13.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,17-08-25,EGCSE,First Language SiSwati,Paper 3,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2023 Question Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,18-08-25,IGCSE,Geography,Paper 1,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_qp_13.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,18-08-25,IGCSE,Geography,Paper 1 - Insert,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_in_13.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,19-08-25,IGCSE,Literature in English,Paper 1,2022,June,https://pastpapers.co/cie/IGCSE/English-Literature-0475/2022-May-June/0475_s22_qp_12.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,20-08-25,IGCSE,Mathematics,Paper 1,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-International-0607/2023-Oct-Nov/0607_w23_qp_13.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,21-08-25,EGCSE,Physical Science,Paper 1,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Physical Science 2022 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,24-08-25,EGCSE,Religious Education,Paper 2,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2022 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,25-08-25,EGCSE,Siswati as a Second Language,Paper 3,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2023 Question Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,26-08-25,EGCSE,Business Studies,Paper 2,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Business studies 2023 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,27-08-25,EGCSE,Design and Technology,Paper 1,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2022 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,28-08-25,EGCSE,English Language,Paper 3,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,31-08-25,EGCSE,First Language SiSwati,Paper 1,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2022 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,01-09-25,EGCSE,Geography,Paper 2,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Geography 2023 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,02-09-25,EGCSE,Literature in English,Paper 2,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Literature in English 2023 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,03-09-25,EGCSE,Mathematics,Paper 4,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Mathematics 2024 Question Paper 4.pdf
